"idx","cd_nm","cd_a","cd_b","cd_memo","cd_memo2","del_flag","order_num","ins_dt","edit_dt"
1135,기타,MAR,"5","","",N,999,2022-09-22 17:34:50.000,
1136,관리자,JOB,"1","","",N,999,2022-09-22 17:34:50.000,
1137,전문가 및 관련 종사자,JOB,"2","","",N,999,2022-09-22 17:34:50.000,
1138,사무 종사자,JOB,"3","","",N,999,2022-09-22 17:34:50.000,
1139,서비스 종사자,JOB,"4","","",N,999,2022-09-22 17:34:50.000,
1140,판매 종사자,JOB,"5","","",N,999,2022-09-22 17:34:50.000,
1141,농림어업 숙련 종사자,JOB,"6","","",N,999,2022-09-22 17:34:50.000,
1142,기능원 및 관련 기능 종사자,JOB,"7","","",N,999,2022-09-22 17:34:50.000,
1143,장치․기계 조작 및 조립 종사자,JOB,"8","","",N,999,2022-09-22 17:34:50.000,
1144,단순노무종사자,JOB,"9","","",N,999,2022-09-22 17:34:50.000,
1145,군인,JOB,"10","","",N,999,2022-09-22 17:34:50.000,
1146,전업주부,JOE,"1","","",N,999,2022-09-22 17:34:50.000,
1147,학생,JOE,"2","","",N,999,2022-09-22 17:34:50.000,
1148,기타,JOE,"3","","",N,999,2022-09-22 17:34:50.000,
1149,소득없음 ,INC,"1","","",N,999,2022-09-22 17:34:50.000,
1150,월평균 100만원 미만,INC,"2","","",N,999,2022-09-22 17:34:50.000,
1151,월평균 100만원 ~ 200만원 미만,INC,"3","","",N,999,2022-09-22 17:34:50.000,
1152,월평균 200만원 ~ 300만원 미만,INC,"4","","",N,999,2022-09-22 17:34:50.000,
1153,월평균 300만원 ~ 400만원 미만,INC,"5","","",N,999,2022-09-22 17:34:50.000,
1154,월평균 400만원 ~ 500만원 미만,INC,"6","","",N,999,2022-09-22 17:34:50.000,
1155,월평균 500만원 ~ 600만원 미만,INC,"7","","",N,999,2022-09-22 17:34:50.000,
1156,월평균 600만원 ~ 700만원 미만,INC,"8","","",N,999,2022-09-22 17:34:50.000,
1157,월평균 700만원 ~ 800만원 미만,INC,"9","","",N,999,2022-09-22 17:34:50.000,
1158,월평균 800만원 ~ 900만원 미만,INC,"10","","",N,999,2022-09-22 17:34:50.000,
1159,"월평균 900만원 ~ 1,000만원 미만",INC,"11","","",N,999,2022-09-22 17:34:50.000,
1160,"월평균 1,000만원 이상",INC,"12","","",N,999,2022-09-22 17:34:50.000,
1161,"1주일 ",TTM,"1","","",N,999,2022-09-22 17:34:50.000,
1162,한달,TTM,"2","","",N,999,2022-09-22 17:34:50.000,
1163,"1년",TTM,"3","","",N,999,2022-09-22 17:34:50.000,
1164,기타,TTM,"4","","",N,999,2022-09-22 17:34:50.000,
1165,자연 선호 매우선호,TSY,"1","","",N,999,2022-09-22 17:34:50.000,
1166,자연 선호 중간선호,TSY,"2","","",N,999,2022-09-22 17:34:50.000,
1167,자연 선호 약간선호,TSY,"3","","",N,999,2022-09-22 17:34:50.000,
1168,중립,TSY,"4","","",N,999,2022-09-22 17:34:50.000,
1169,도시 선호 약간선호,TSY,"5","","",N,999,2022-09-22 17:34:50.000,
